Energy_a5,Coefficient_of_Variance_a5,Energy_d5,Coefficient_of_Variance_d5,Energy_d4,Coefficient_of_Variance_d4,Energy_d3,Coefficient_of_Variance_d3,InterQuartile,MedianDeviation,Detection
4894252.2241,-0.69207,14003.4798,9.8731,28344.4707,-231.5357,33030.5389,-3.5507,161.9621,90.5976,Seizure
5088722.123,5.6222,17448.9806,-27.2223,32858.3904,-109.6885,36134.7709,-2.6416,156.7808,90.8887,Seizure
3191008.9149,0.39959,63280.2534,-10.9383,93847.9583,263.1192,85278.5699,0.18345,112.1283,66.996,Seizure
1410387.3573,-1.8995,85560.5951,81.1135,111665.7358,14.5858,106121.4625,10.5357,101.1541,60.4655,Seizure
1271009.9667,1.3955,67465.2094,2.3044,93162.8337,-86.3122,78908.5685,-17.5807,100.1263,57.9567,Seizure
1425194.1746,-63.7246,69063.6088,55.0523,150433.0748,44.2989,126684.4173,8.8861,112.3406,62.8322,Seizure
2034311.6567,-0.42882,84577.2652,-146.3061,193742.1061,-105.0221,145608.7398,3.0783,123.9008,71.1342,Seizure
1898073.4528,-0.13061,61341.2733,-15.7129,171051.7083,-6.4067,112612.4617,-23.7462,109.6905,63.8456,Seizure
1812620.4566,-1.4624,71799.9385,-24.5289,138341.5032,-20.3105,112578.131,33.6963,107.4991,61.3533,Seizure
4281507.6929,-2.4751,89214.8612,273.3852,217054.0556,115.0204,141614.0789,4.7172,114.7953,66.4572,Seizure
2011365.5275,5.104,49582.4809,97.4007,138581.6083,-88.6723,139547.6009,-4.8045,112.2047,66.3497,Seizure
2702215.0438,7.227,90222.9377,-5.0965,208043.0373,58.1003,177940.3524,-1.5516,122.4484,69.7901,Seizure
3588264.3653,34.766,41110.2492,-328.4008,116364.6713,491.4994,90262.5741,3.0239,104.5772,67.2719,Seizure
2690749.1433,5.9111,62401.0281,10.107,153965.8895,21.5272,149616.9503,1.6313,119.6963,69.946,Seizure
3536545.3131,-2.4238,56952.6195,3.6559,157882.4731,92.4189,152026.332,-0.82576,118.142,70.8108,Seizure
6070733.5436,-5.323,42566.7514,-1552.7059,73335.2619,-41.2936,115558.1892,-2.3032,150.4528,91.1562,Seizure
7891910.9314,1.6043,117918.7161,53.1187,168313.023,24.5851,145053.6833,-2.8538,191.9202,110.3947,Seizure
4527628.9845,-2.0256,66996.0634,-52.721,84758.8649,96.5151,70765.0974,-0.58601,151.6165,89.6581,Seizure
3498553.5935,2.1725,52787.138,24.2611,44616.3663,1711.6126,58443.3548,0.98559,144.3712,80.1718,Seizure
3229761.7988,1.7286,32694.6086,36.0155,77755.1193,-31.9735,46204.8736,-1.4331,110.1492,67.6507,Seizure
5385208.8089,3.4995,24333.339,-24.1654,35798.1715,-686.3648,51825.3547,-63.0599,162.1405,97.2399,Seizure
9522250.6713,0.82829,27297.3192,79.8652,41731.2499,-59.4492,50078.1496,5.5558,202.0109,114.9766,Seizure
6587245.006,1.4998,12300.1072,18.1752,27350.2581,84.2539,44308.6067,3.9896,161.1467,97.9904,Seizure
3730821.8202,2.0251,74137.8894,21.2127,166886.3684,-8.3356,102097.7737,-7.8626,120.4778,68.9178,Seizure
6427648.1774,-3.1389,14980.6318,-251.6619,31435.3721,-404.3441,46000.0895,-0.77311,115.993,71.1949,Seizure
2239842.3869,5.744,15356.3301,-3.7395,18745.4613,1.2557,29821.9356,1.3855,98.3596,60.3206,Seizure
4130590.4121,6.8167,101146.8809,-24.4659,132639.9172,-34.3023,125911.6095,3.0198,105.6219,62.9201,Seizure
2428062.8216,-3.5309,100513.4617,5.2089,145918.099,-2.008,125189.9412,-1.497,110.421,62.4588,Seizure
2836244.8132,1.596,4275.0897,78.9645,9758.4273,-41.4842,25624.4055,22.3116,91.471,53.9593,Seizure
1765508.2065,-0.15353,15647.9395,14.9176,21316.4579,-94.9943,27137.655,6.4477,90.1035,52.8879,Seizure
2066982.3085,-5.5623,7713.332,-72.1259,14606.6859,-23.8126,26900.6129,1.1638,100.2877,60.3551,Seizure
412525.3469,-3.1085,1130.377,-1.1841,2494.9579,178.3514,21030.8665,-1.8745,47.3961,29.5322,Non-Seizure
346287.3214,1.0255,1114.7416,6.0606,2154.9202,50.9389,6026.3242,-1.0709,31.5549,18.4186,Non-Seizure
328003.7197,4.4165,1195.6586,31.9371,2117.6055,0.035067,5427.578,-4.7625,39.2164,21.9911,Non-Seizure
431798.0735,-0.29254,1181.2248,-1.8803,2443.284,-35.2121,12041.0424,-71.8287,38.8852,23.0371,Non-Seizure
491455.2059,7.8534,1260.0949,43.2113,2606.4749,32.5285,16457.5249,8.5323,47.7273,27.6716,Non-Seizure
232653.1769,133.1804,1215.6318,-2.2314,2257.0067,99.3678,8212.6993,-5.6548,33.6274,19.9059,Non-Seizure
154768.7813,233.6359,1282.8454,-30.3887,2223.4194,-73.5018,4656.2169,-3.9384,25.8725,15.1074,Non-Seizure
272896.2537,-0.30208,1293.1815,-0.11407,2298.3358,7.653,11362.0135,-2.422,38.0528,22.055,Non-Seizure
420989.8998,0.83705,1210.7816,28.7164,2591.5777,37.151,18886.2505,-1033.4221,37.8064,23.3664,Non-Seizure
370230.7135,-2.1018,1228.1637,103.03,2442.9468,-12.3486,13003.1863,-6.5255,45.7737,26.5653,Non-Seizure
1090003.9365,-26.4937,1209.085,2.5549,2390.2675,-7.7494,8338.4605,-0.221,50.5898,34.8634,Non-Seizure
2431744.4328,0.6994,1231.9694,-0.6811,2684.6101,-48.6867,17757.4123,3.8243,64.0102,37.8344,Non-Seizure
656665.2718,1.9076,1188.2836,-1.6263,2271.3217,8.9272,9121.0307,-3.888,52.1527,32.6313,Non-Seizure
282613.09,5.7481,1125.4867,83.7723,2182.7822,81.4279,6786.8944,-1.6096,34.7147,21.3888,Non-Seizure
283386.0954,2.7218,1113.9779,-47.647,2314.9318,152.7651,4917.6236,-2.0828,34.6807,19.0049,Non-Seizure
276756.8469,0.53122,1023.7101,-33.0448,2432.1566,-29.5782,8834.2325,1.9849,35.1054,20.0197,Non-Seizure
321115.8004,1.844,1023.6788,47.647,2819.52,9.8867,21516.2683,4.8558,45.0433,26.4384,Non-Seizure
379190.6731,-15.5015,997.776,-55.9425,2577.4593,20.1854,13896.6846,-4.7563,36.1331,20.9028,Non-Seizure
452846.6149,-2.1223,994.1417,-5.0331,2539.7755,-6.8882,7559.2207,-6.0808,41.4079,23.3926,Non-Seizure
486495.6805,-1.299,1022.3071,-13.8067,2243.528,-359.2627,9430.4567,-35.1473,36.4729,21.3288,Non-Seizure
407114.2826,2.9474,1056.6943,-8.7751,2408.3911,-56.5813,16149.7235,-5.6776,42.8518,25.8705,Non-Seizure
654026.6757,2.1522,1113.684,-24.3678,2729.6732,-68.8769,15274.3492,-7.49,57.7417,33.2594,Non-Seizure
647038.9737,0.74034,1176.3605,4.9034,2126.1643,-29.7019,7777.22,-4.2916,39.2164,26.1992,Non-Seizure
1509041.2588,-7.5097,1217.5065,-4.5209,2470.4746,-114.2372,7819.0408,0.91173,51.677,29.8538,Non-Seizure
891588.0204,-0.44481,1232.4485,-1.2407,2126.3609,-2.7902,6764.787,-4.7257,43.0727,25.7501,Non-Seizure
437194.9124,-0.18861,1264.814,-53.6515,2149.6733,68.2409,4554.9826,2.8352,41.9855,24.2465,Non-Seizure
308603.5612,-0.13909,1251.4089,13.7092,2201.7468,483.4097,10708.5839,-6.1482,39.7516,23.223,Non-Seizure
292832.252,1.8757,1239.4018,60.8226,2357.3092,-24.2431,15153.3396,11.5136,42.9028,25.2455,Non-Seizure
464326.8811,57.1763,1197.2785,-31.3736,2448.1663,-8301.7387,15880.0531,-0.12153,50.0207,30.5988,Non-Seizure
312502.6895,1.3943,1178.4149,79.3365,2176.332,-2282.0589,6756.4643,-4.2728,32.88,18.8264,Non-Seizure
261090.0452,1.7751,1122.3386,-64.6117,2256.5144,-38.1996,6125.1418,-2.4088,30.9349,18.4979,Non-Seizure
279957.3135,-0.4345,1064.9481,99.0271,2400.3926,14.7338,8044.2304,-0.55441,35.2158,21.0414,Non-Seizure
180500.78,5.8695,1025.0896,62.1516,2308.4312,-54.6598,6911.2639,-1.5788,29.6693,18.663,Non-Seizure
138926.8894,40.758,1033.3758,121.3014,2494.7019,9.0514,5518.4759,0.17433,28.9728,17.2971,Non-Seizure
211147.0022,-1.1073,967.1597,-26.7616,2645.9028,-18.8817,8548.4854,-38.9826,25.9659,15.6944,Non-Seizure
599169.17,14.1545,1018.2155,-23.5086,2460.1059,-515.2465,7820.8873,-2.3146,37.3817,23.6517,Non-Seizure
625192.048,0.7893,1022.4232,10.8178,2615.1562,15.6331,14705.4056,1.3633,44.7205,25.3785,Non-Seizure
247829.0683,-0.21044,1087.0949,-8.4298,2517.6324,-79.7032,10337.7984,-4.3934,41.7221,24.6038,Non-Seizure
813727.8594,-0.67817,1137.1371,-17.6227,2391.0296,59.3291,10690.2808,-6.326,64.3839,35.1606,Non-Seizure
439721.6972,0.90895,1106.6942,-12.3977,2236.5925,6.418,7215.0515,8.6806,37.679,22.8522,Non-Seizure
1058841.6553,-1.9132,87917.5326,76.7532,143156.8672,-17.1541,161811.0243,2.7014,75.6129,45.5346,Seizure
2275056.5312,3.6094,106572.3425,64.9719,122567.9651,-2312.0841,138772.0321,3.3024,106.7856,68.6595,Seizure
4532891.447,-1.0006,47557.8249,30.3802,77769.6135,-66.7123,74106.7812,-5.0201,140.3366,78.4813,Seizure
5258180.3615,4.5685,50436.1878,-4.3427,56680.1385,-25.5047,63835.3472,9.7865,182.9166,98.8856,Seizure
4076019.1905,-2.0816,28448.0623,292.9966,38705.8099,-28.5295,36266.0274,-221.4605,112.2302,66.363,Seizure
7171486.5283,1.2985,38502.5578,-31.7651,32371.3366,42.1005,37832.2741,-2.5604,190.6546,105.2294,Seizure
10316342.2691,1.9655,54565.9902,-6.3632,80834.6171,-157.086,60635.7234,19.4343,209.0184,108.3016,Seizure
5080265.5754,13.3276,81119.9546,-12.6151,114376.7928,27.2897,93335.6556,-28.0724,141.5512,90.6112,Seizure
5940238.9955,0.25014,34813.1899,7.2815,50986.2396,-679.5762,48599.5981,-1.31,116.0609,75.3197,Seizure
3321013.6555,0.15853,35504.4591,-35.1155,36514.8465,-68.2375,39968.3596,-47.2626,94.5289,56.4524,Seizure
1867901.6829,2.5518,23450.3547,0.41341,33926.3343,-27.4162,47620.4187,-5.0943,89.3815,56.4052,Seizure
1553731.4335,-3.0678,26288.6351,6.527,31569.4017,-5557.2416,36830.3136,-4.9271,85.177,52.0563,Seizure
1487073.6977,2.3447,36177.3491,-5.6493,33675.824,-57.3539,44892.9934,-6.2882,93.0679,55.0225,Seizure
1364560.9623,1.7578,44769.8426,-127.3021,49350.1739,66.5678,65082.888,-0.57739,85.279,48.4195,Seizure
3780808.1381,1.0557,69043.6093,-4.1149,117876.5384,-13.6203,128297.9111,3.5849,116.2563,66.6864,Seizure
3052104.1473,1.6204,198820.1446,-11.0298,372513.6815,76.7612,342527.4484,-8.2711,133.2357,77.7437,Seizure
1666671.4962,1.4579,118246.7182,4.2102,141497.8618,81.7878,175274.179,10.6875,103.8976,59.5842,Seizure
2955915.7352,1.4493,106908.8385,164.2724,145378.327,69.0421,108351.195,-3.0733,138.7907,79.1894,Seizure
7066206.9961,0.56322,29501.7652,-9.7875,49185.4506,-190.5684,57146.3556,5.1625,172.2482,101.6361,Seizure
12616732.0341,-3.8028,159917.1612,43.542,248043.7313,-27.1996,215132.4155,1.6711,220.7485,122.3946,Seizure
10341122.3343,17.1716,48476.6663,-61.605,62993.7227,-997.0862,58268.7097,-7.8037,210.3859,116.0038,Seizure
7302282.6666,26.5651,125260.4663,-231.7575,184059.8369,-282.5394,163262.8468,3.541,193.4491,110.1239,Seizure
7435627.9028,-1.189,45106.771,109.6279,91140.6811,38.4584,51278.7969,5.1515,151.8968,88.4041,Seizure
4066948.9313,2.7001,96077.9506,-12.4487,112616.0041,-17.2741,106908.5078,-1.7626,137.5591,82.0971,Seizure
3093959.7592,-2.9725,83499.8568,-1.8842,99926.2852,553.7779,74888.7896,4.1829,121.2762,69.089,Seizure
4203720.9887,-0.18304,55194.2335,21.9268,78288.7977,17.0438,71066.6041,6.8165,132.1314,74.2238,Seizure
2021033.12,-0.37848,56074.5529,-33.5772,75373.6666,63.9915,107927.6986,-4.6266,104.6791,61.5272,Seizure
1101931.6872,0.73686,2869.7195,42.7852,3426.8461,-18.0958,4579.7359,-0.40556,52.9426,33.1548,Non-Seizure
1011554.5077,4.5271,2960.941,52.9932,3515.0446,-1366.4873,6090.8389,-12.5667,74.8994,41.5901,Non-Seizure
1085393.3668,12.1009,3020.9133,-3.2107,3443.3644,-18.0863,5788.597,-0.19329,75.2731,43.6842,Non-Seizure
1405095.0307,-4.7753,3144.655,5.9645,3981.9382,5.6033,8499.3919,-3.2776,81.2019,45.4634,Non-Seizure
1255835.9352,1.5766,3103.9907,-13.891,4042.4066,36.2491,6200.1019,-24.7465,74.118,43.3096,Non-Seizure
1356078.9881,-2.5502,2889.7704,-710.7904,4219.8108,6.6286,2940.2375,3.3222,54.9557,31.739,Non-Seizure
929981.204,-0.79237,2852.6442,-17.4645,4067.6662,-13.7477,3772.4534,0.13523,55.6182,33.9035,Non-Seizure
711278.9983,3.1012,2661.6389,307.7885,4092.7495,121.7585,6697.9214,3.9602,61.3686,35.1359,Non-Seizure
2095521.9988,-1.0797,2555.2829,-15.2586,3906.3511,32.6206,8706.2398,13.8236,66.431,40.3189,Non-Seizure
739042.8263,0.4966,2464.7638,-1.9274,3953.4342,19.6871,6053.9168,-4.8509,49.9358,29.302,Non-Seizure
965100.0613,18.2696,2524.8321,-289.4746,3900.15,9.986,7202.7349,3.9539,65.3777,38.8884,Non-Seizure
1065074.9783,-35.8942,2610.9999,-232.2739,3566.437,3.0319,5679.4969,0.66134,67.5607,37.8998,Non-Seizure
1467552.1066,-2.1042,2641.1107,-25.2773,3557.2672,26.9085,3583.3788,41.6948,79.5796,44.2173,Non-Seizure
1232337.9264,2.8001,2841.4206,-297.5257,3223.0793,30.8006,4083.749,1.0847,83.2149,47.0642,Non-Seizure
2340366.9682,10.9352,2909.1495,-22.411,3598.6554,-98.4715,7306.0061,-7.0975,118.1674,65.756,Non-Seizure
3154677.3021,-0.082893,3113.1656,-17.4856,3652.502,-37.9331,7191.3412,-1.4183,105.2907,66.0391,Non-Seizure
1800928.9447,3.149,3052.1706,30.7915,3851.4621,22.5825,6045.4551,-0.018744,69.2934,42.8513,Non-Seizure
1550545.4347,-0.69905,2917.6249,-24.5321,4043.8035,40.8196,10475.7005,-15.0777,87.0797,50.2573,Non-Seizure
1304363.0824,3.6346,2707.8855,-0.33353,4113.5612,868.4136,9083.9544,-1.4939,57.8266,35.3621,Non-Seizure
881987.9246,-2.3364,2487.6046,-1238.4821,4073.4607,60.6772,4216.452,2.7066,56.7989,32.5554,Non-Seizure
1358006.9054,0.5146,2440.6886,-152.1991,3614.5555,68.1219,7376.2756,-15.2641,72.4022,42.6946,Non-Seizure
1927799.7588,1.0696,2490.4131,-68.5219,3667.7152,-9.1861,8663.2119,-262.3582,88.9399,52.5104,Non-Seizure
1963862.336,-1.8469,2656.9032,7.3208,3281.5499,-4.7654,5562.3283,-4.6191,80.8621,49.1488,Non-Seizure
1928207.2171,16.3086,2802.7042,-24.8496,3525.2042,14.7433,7243.1828,-7.1491,92.8216,53.22,Non-Seizure
1449142.6176,9.1091,3104.8494,-59.981,3812.6415,-0.70294,5262.4828,17.0995,81.9154,46.1929,Non-Seizure
1798497.3083,-1.6426,3075.0096,-15.0469,3627.4722,-13.9581,4165.938,1.636,78.7641,45.5814,Non-Seizure
1251835.569,2.0425,3056.7087,7.2377,3605.5488,0.80232,5357.5296,-13.621,62.3879,34.8448,Non-Seizure
1653695.7486,33.695,2806.1384,-54.0746,3680.3962,75.2159,8579.6876,4.2098,77.1248,47.9581,Non-Seizure
2601894.674,0.56171,2552.6211,74.2951,3901.6251,0.91442,7229.8468,1.029,61.3431,37.8725,Non-Seizure
1847795.9562,-0.88781,2471.6468,-17.5868,3820.5919,16.1091,6551.0457,-4.2553,80.6413,44.1093,Non-Seizure
2106749.4949,-15.6657,2491.3198,-1.0664,3755.2966,-17.7761,3476.3475,-14.029,75.2137,42.0371,Non-Seizure
3192077.4116,-0.85146,2523.0986,100.2035,3805.4193,13.5996,9270.812,6.917,88.8464,50.6556,Non-Seizure
909777.0804,-2.4388,2648.3299,-22.611,3412.0395,27.9795,5639.5717,28.2944,60.9779,35.7584,Non-Seizure
678420.3034,11.5145,2737.2811,-2.4861,3497.974,-23.8632,4121.1802,1.2125,57.5718,33.0508,Non-Seizure
753669.6497,7.2951,2981.0939,-0.79533,3489.9147,13.4696,6550.3136,-33.5046,59.5424,33.3682,Non-Seizure
835301.0295,1.9714,3060.9324,43.7559,3626.2398,-167.2198,3854.9662,-15.4502,55.8475,33.2825,Non-Seizure
1266046.4372,-0.26869,3144.4985,-16.0604,3622.918,13.2096,4168.8332,-1.0862,78.5943,42.8856,Non-Seizure
1725012.2935,-0.85835,3074.141,49.2786,3724.26,-292.6001,6602.2137,-11.709,97.9264,56.6889,Non-Seizure
1364962.5202,-3.9452,2949.4309,1.7303,3951.1179,-17.444,8836.5191,12.7315,85.6102,48.8315,Non-Seizure
1549333.5876,5.6794,2781.1261,-1115.957,4124.182,-137.3659,5568.4901,10.3678,88.1839,49.7148,Non-Seizure
1659264.2223,-1.4641,3111.1342,141.822,4091.2668,-164.4937,10706.4228,-8.2909,65.9128,39.5998,Seizure
1205490.7342,-2.6208,2812.326,2.5166,4138.7623,197.2088,9624.3348,2.3521,77.1078,43.8638,Seizure
2663827.5591,7.9979,2605.6049,30.9894,4314.0314,-33.5448,11128.0421,2.8003,117.6833,72.5787,Seizure
4631598.8962,-3.5119,2486.0219,44.8728,4269.7071,295.8193,13733.6421,5.6335,150.6312,80.9642,Seizure
7672368.3839,1.982,2509.6972,-28.071,4108.5809,27.6538,12357.9536,-7.1112,122.304,71.5785,Seizure
6188269.0301,0.086391,2574.5235,-176.3634,3959.1816,80.2308,9010.1256,-109.1406,175.7902,107.592,Seizure
4693555.4396,1.441,2680.2133,-52.166,4163.357,17.9731,11990.574,3.9626,124.1217,72.2173,Seizure
4249732.3413,-0.89236,2832.9284,30.3157,3982.2725,-13.2941,12492.8435,-80.5856,147.6074,78.1223,Seizure
1817177.9974,0.62426,2933.6678,-246.4958,3969.3956,-37.7743,12101.9054,-5.6341,92.8131,54.3615,Seizure
1437222.2281,-0.5073,3150.5923,12.6457,4464.795,-173.6443,14103.8126,20.1046,85.9755,50.7012,Seizure
1560159.1354,5.5733,3011.4727,29.5846,4458.2206,-36.0022,15560.1106,5.3568,95.9728,57.3226,Seizure
3066929.7707,50.6496,3099.5862,-4.1818,5286.0637,-17.3856,18866.0048,-17.9404,116.3412,69.0877,Seizure
2800720.5403,0.67767,2933.2155,-5.4123,4899.2449,15.473,14048.4124,7.1762,126.8907,69.9416,Seizure
3040154.0907,-3.729,2806.5029,-17.6658,5108.4708,-19.5832,16623.8144,6.7628,123.0599,73.2794,Seizure
5120031.2327,-0.7613,2657.2834,-20.0713,4880.9651,-62.9216,13800.4751,-96.7735,133.1082,73.5687,Seizure
3109947.9807,-1.349,2482.2221,-76.0198,5699.3694,-64.8965,18229.5432,3.1798,115.22,66.6562,Seizure
4018993.8811,0.36906,2459.973,-19.0876,5616.7659,-33.5151,23252.8812,8.6666,110.8542,61.1873,Seizure
2807041.7186,-5.6068,2479.492,-243.2837,5374.7266,29.4817,21728.5057,-3.7498,117.2501,68.4654,Seizure
4189583.225,-14.613,2522.1387,-5.6138,4766.2218,-28.3451,18219.3155,-0.62004,115.7722,65.8366,Seizure
4133451.2313,-3.2624,2553.6344,40.8105,4361.5731,84.5252,20922.8174,5.362,154.2071,84.7726,Seizure
4169176.7798,-5.3756,2645.3244,83.4599,4913.5994,51.9568,18632.362,-0.55304,127.4343,74.7289,Seizure
3541782.3473,1.1834,2811.0525,8.0716,4388.9149,166.1381,13856.8737,33.624,114.0394,66.5768,Seizure
3847146.7565,-5640.6521,2874.0844,12.9378,4604.4368,-36.8603,16739.3624,-17.3534,155.4642,85.7565,Seizure
4180937.2575,16.0494,2949.2359,50.0519,5358.7917,-29.1287,20271.146,19.2187,103.4899,59.7495,Seizure
3609114.8205,3.7308,2997.3254,-5.6316,5564.3268,37.1414,21626.5178,-3.6106,146.9448,84.9439,Seizure
5479600.2477,-0.44628,2970.1647,-93.762,4697.9466,-18.1835,19427.0106,-10.9107,159.5923,89.0318,Seizure
5375222.1239,-2.9249,3020.8501,-51.7273,4487.0959,-48.4232,17961.3959,0.75124,173.8791,95.1915,Seizure
4013958.203,6.0177,3045.4045,16.3442,4377.5446,-12.8675,11172.6602,-31.4014,131.6218,79.463,Seizure
4634179.4975,-13.3861,2933.7784,12.7311,4439.1989,11.8146,17951.8641,4.6177,138.6972,77.9331,Seizure
6385573.1977,-0.22449,2854.4788,-174.8852,4353.5989,-3.2711,9460.8272,-7.1129,163.0068,91.5555,Seizure
5947204.9656,6.39,2699.2391,87.4036,3568.6546,-21.8261,12766.1456,0.71454,130.4921,83.056,Seizure
13051308.773,-2.6322,2621.1644,130.3111,4208.6911,69.2702,9373.358,-3.4189,172.0529,100.3449,Seizure
13146395.5292,1.2982,2484.0048,-16.5721,3912.0317,-20.8319,11249.1368,-6.9505,178.2874,105.3164,Seizure
7023539.1167,4.8202,2417.738,89.4384,4025.5372,4.5142,13868.2602,-4.1777,163.4061,95.4731,Seizure
